,lipid,fc,p,PND1,PND2
155,TAG(56:5_FA18:1)+NH4,1.118834806810879,0.2307698694121066,30,60
156,TAG(56:5_FA20:4)+NH4,1.0319063015493422,0.6823524171605635,30,60
157,TAG(56:6_FA18:0)+NH4,1.1042540939594434,0.26923504350431643,30,60
158,TAG(56:6_FA18:1)+NH4,1.0185644798526303,0.7905548485398048,30,60
159,TAG(56:6_FA20:4)+NH4,1.1050227441252773,0.13593067687226046,30,60
160,TAG(56:6_FA22:5)+NH4,1.1951549264352563,0.042612200817574476,30,60
161,TAG(56:7_FA20:3)+NH4,1.0289958507988384,0.6480360533809226,30,60
162,TAG(56:7_FA22:5)+NH4,1.0397275122333256,0.5902230296028912,30,60
163,TAG(56:7_FA22:6)+NH4,1.2476062954781293,0.12642156722243397,30,60
164,TAG(56:8_FA16:0)+NH4,1.0447202606412163,0.6127505305923985,30,60
165,TAG(56:8_FA16:1)+NH4,1.105862139718858,0.47155898736820245,30,60
166,TAG(56:8_FA18:1)+NH4,1.0243811984453517,0.7996901410076794,30,60
167,TAG(56:8_FA18:2)+NH4,0.9982581318701601,0.9899521715825798,30,60
168,TAG(56:8_FA20:4)+NH4,1.092109129657233,0.1385678270337125,30,60
169,TAG(56:8_FA22:6)+NH4,1.1060236601978248,0.1600931168102072,30,60
170,TAG(56:9_FA18:3)+NH4,0.9372325755919805,0.4374146925605087,30,60
171,TAG(56:9_FA20:4)+NH4,1.017165380820247,0.8316855368928456,30,60
172,TAG(56:9_FA22:6)+NH4,0.9565624752853285,0.5385576446946483,30,60
173,TAG(57:10_FA22:6)+NH4,0.9963610523953873,0.9630098761796724,30,60
174,TAG(57:2_FA18:1)+NH4,1.0114177901586916,0.8978429173934878,30,60
175,TAG(58:10_FA20:4)+NH4,1.0785137391402464,0.39420870593896995,30,60
176,TAG(58:10_FA22:6)+NH4,1.1332844363096701,0.14631967336477225,30,60
177,TAG(58:6_FA22:4)+NH4,1.0951947360274705,0.34368232842526814,30,60
178,TAG(58:6_FA22:5)+NH4,1.0237133443257411,0.8430945367628934,30,60
179,TAG(58:7_FA20:4)+NH4,1.0357433152290616,0.7070183614028742,30,60
180,TAG(58:8_FA18:1)+NH4,1.1651593954526136,0.18456672274071956,30,60
181,TAG(58:8_FA20:4)+NH4,1.2646316208434853,0.055412824084537446,30,60
182,TAG(58:8_FA22:5)+NH4,1.0508297910119413,0.5632356051082101,30,60
183,TAG(58:8_FA22:6)+NH4,1.1523578240605663,0.042497512185652404,30,60
184,TAG(58:9_FA20:4)+NH4,1.0224282088009622,0.7033799005615222,30,60
185,TAG(58:9_FA22:6)+NH4,1.035399869146091,0.5893097546314522,30,60
186,TAG(60:10_FA22:5)+NH4,1.049202688271448,0.6777891334474113,30,60
