,lipid,fc,p,Sex1,Sex2
409,PE(18:2_20:4)-H,1.088866116886028,0.0014315474874032205,M,F
410,PE(18:2_20:5)-H,1.0082178252255283,0.6376204959693312,M,F
411,PE(O-16:0_16:0)-H,1.0037627578844337,0.8632254917419709,M,F
412,PE(O-16:0_18:0)-H,1.0185782475372356,0.7119222062470458,M,F
413,PE(O-16:0_18:2)-H,1.0233500900168624,0.4458217233469498,M,F
414,PE(O-16:0_20:1)-H,0.9979160521418636,0.9168728116078104,M,F
415,PE(O-16:0_20:4)-H,1.0442669479606352,0.04480323782521968,M,F
416,PE(O-16:0_22:4)-H,1.0492869880076265,0.06502783651050656,M,F
417,PE(O-18:0_16:0)-H,1.0442557772534944,0.03526027046400215,M,F
418,PE(O-18:0_20:4)-H,1.004262332549193,0.8309006690941245,M,F
419,PE(O-18:0_20:5)-H,1.028134423009799,0.06438313821232293,M,F
420,PE(O-18:0_22:4)-H,1.0299765786454644,0.1317126640060473,M,F
421,PE(P-14:0_18:0)-H,1.0387262597196292,0.19978373031548435,M,F
422,PE(P-16:0_16:1)-H,1.0424521482615343,0.049563501628208724,M,F
423,PE(P-16:0_18:1)-H,1.3357561403565883,0.0009539612458555241,M,F
424,PE(P-16:0_18:2)-H,1.0492528991589136,0.12265981521177277,M,F
425,PE(P-16:0_18:3)-H,1.008285547482756,0.6683004515192534,M,F
426,PE(P-16:0_20:1)-H,1.1023986427463939,0.030738902023371602,M,F
427,PE(P-16:0_20:2)-H,1.0568867435008222,0.006375989927562596,M,F
428,PE(P-16:0_20:3)-H,1.0653094219937658,0.010674581310272371,M,F
429,PE(P-16:0_20:4)-H,1.203821293236491,0.0032298755112801034,M,F
430,PE(P-16:0_22:4)-H,1.1313767902254575,0.0055561629148006605,M,F
431,PE(P-16:0_22:5)-H,1.0512460951627738,0.013324995744136293,M,F
432,PE(P-18:0_16:0)-H,1.0534322702362808,0.037810742924413936,M,F
433,PE(P-18:0_16:1)-H,1.05473972604466,0.005430723221696165,M,F
434,PE(P-18:0_18:1)-H,1.0626263341511393,0.17483561043616658,M,F
435,PE(P-18:0_18:2)-H,1.0445632807626328,0.04754157483685631,M,F
436,PE(P-18:0_20:1)-H,1.045510152213729,0.2233442004576261,M,F
437,PE(P-18:0_20:4)-H,1.1430776579574118,0.018297485393887005,M,F
438,PE(P-18:0_20:5)-H,1.0313722631445148,0.09963065871701987,M,F
439,PE(P-18:0_22:4)-H,1.0925374131768955,0.03367370137204656,M,F
440,PE(P-18:1_16:0)-H,1.0608579342951125,0.0460599822089204,M,F
441,PE(P-18:1_16:1)-H,1.0693233617491846,0.009023598904865118,M,F
442,PE(P-18:1_18:0)-H,1.062448575808839,0.055009067279308606,M,F
443,PE(P-18:1_18:1)-H,1.2376643862979402,0.0753032383440129,M,F
444,PE(P-18:1_18:2)-H,1.0422139555699672,0.05505699204989322,M,F
445,PE(P-18:1_20:1)-H,1.0558786246932121,0.1880105377105091,M,F
446,PE(P-18:1_20:2)-H,1.048950980532495,0.030906466833840088,M,F
447,PE(P-18:1_20:3)-H,1.072481016389643,0.024507769001300188,M,F
448,PE(P-18:1_22:4)-H,1.1266321135142523,0.09848697748443562,M,F
449,PE(P-18:2_18:2)-H,1.0309268335586663,0.09846440115189829,M,F
450,PE(P-18:2_20:4)-H,1.0392556586956339,0.07167137054573826,M,F
451,PE(P-18:2_22:6)-H,1.044993861974194,0.037174736782696345,M,F
452,PG(14:0_14:0)-H,1.0001960830862813,0.9806490267269585,M,F
453,PG(14:1_14:1)-H,1.0026023041960166,0.8136718505488263,M,F
454,PG(14:0_18:2)-H,1.0130013991183688,0.11428040077846752,M,F
455,PG(14:0_18:3)-H,0.9975869279289032,0.9009108283557903,M,F
456,PG(14:0_20:1)-H,1.000754279057234,0.9462743932675709,M,F
457,PG(14:0_20:2)-H,1.0097863073540752,0.18706400992076108,M,F
458,PG(14:0_20:3)-H,0.9932929199391819,0.41986897902231535,M,F
459,PG(14:0_20:4)-H,1.0006861727635405,0.9192998652071652,M,F
460,PG(14:0_22:4)-H,1.0098345542523512,0.33850699374664717,M,F
461,PG(14:0_22:5)-H,0.9887900187289184,0.3553097563989347,M,F
462,PG(14:0_22:6)-H,0.9990395385079547,0.8967785690199082,M,F
463,PG(16:0_14:0)-H,1.006479250336836,0.5343864491386061,M,F
464,PG(16:0_16:0)-H,1.0183586922923031,0.1894436615845447,M,F
465,PG(16:0_16:1)-H,1.0149981578587628,0.08381981440979058,M,F
466,PG(16:0_18:0)-H,1.007768313522611,0.3830372188566289,M,F
467,PG(16:0_18:1)-H,1.0152116978413106,0.325891717831192,M,F
468,PG(16:0_18:3)-H,1.0036634752921887,0.6058514758513303,M,F
469,PG(16:0_20:1)-H,1.0120548728681362,0.19405393928082343,M,F
470,PG(16:0_20:2)-H,1.0109455645207674,0.31920811542279115,M,F
471,PG(16:0_20:3)-H,1.0127776407469842,0.20213428205717124,M,F
472,PG(16:0_20:4)-H,1.0371204635669118,0.02880051387801866,M,F
473,PG(16:0_20:5)-H,1.0022965776265604,0.7572885450077598,M,F
474,PG(16:0_22:4)-H,1.019572576718378,0.032420878659166756,M,F
475,PG(16:0_22:5)-H,1.0112321263305593,0.19556815211411624,M,F
476,PG(16:0_22:6)-H,1.0147170279940991,0.1694169524265995,M,F
477,PG(18:0_14:0)-H,1.0079825525415285,0.35439173816360203,M,F
478,PG(18:0_16:1)-H,0.9978936467642382,0.8387011276872376,M,F
479,PG(18:0_18:0)-H,0.999594061578573,0.9563305862915957,M,F
480,PG(18:0_18:1)-H,1.009709388291464,0.386407736997337,M,F
481,PG(18:0_18:2)-H,0.9985286257964232,0.8779575471761939,M,F
482,PG(18:0_18:3)-H,1.004009552087821,0.5115505183819125,M,F
483,PG(18:0_20:0)-H,1.0090426047543188,0.3443818490253845,M,F
484,PG(18:0_20:1)-H,1.0086386557141176,0.32294671527923013,M,F
485,PG(18:0_20:2)-H,1.0028826379945255,0.7274865637704651,M,F
486,PG(18:0_20:3)-H,1.0119466233841379,0.28485789135262063,M,F
487,PG(18:0_20:4)-H,1.0251798869002895,0.19943161193852693,M,F
488,PG(18:0_20:5)-H,1.0046641013666353,0.6163369135036081,M,F
489,PG(18:0_22:4)-H,1.0115948619913024,0.2696872467922442,M,F
